epoch,start_utc,end_utc,training_seconds,validation_seconds,total_epoch_seconds,cumulative_seconds,learning_rate,total_training_loss,classification_loss,box_regression_loss,rpn_objectness_loss,rpn_box_loss,validation_precision,validation_recall,validation_map50,validation_map50_95,checkpoint_saved,device,batch_size,resize_policy
1,2026-09-22T17:57:40.657142+00:00,2026-09-22T18:31:06.336944+00:00,1943.357350374994,62.251181291998364,2005.6492332920025,2005.6492332920025,0.0005,0.7842351615376733,0.3457612177141709,0.32889606517495124,0.049195928749140874,0.0603819498994103,0.3028427321319282,0.48583762513838785,0.43737885530185855,0.3061320216954031,epoch_001.pth,mps,1,min480/max640 aspect preserving
2,2026-09-22T18:31:07.971808+00:00,2026-09-22T19:03:56.851125+00:00,1909.5789357920003,59.23249695800769,1968.8508904999908,3974.5001237919932,0.001,0.6410734389936416,0.28251017147290985,0.2669461987980758,0.03682849055780662,0.05478857816484924,0.3526861666815063,0.5455513889383931,0.45965276941905414,0.32556234148251767,epoch_002.pth,mps,1,min480/max640 aspect preserving
3,2026-09-22T19:03:58.396567+00:00,2026-09-22T19:35:47.835512+00:00,1850.395065167002,59.00403858300706,1909.43541679201,5883.935540584003,0.001,0.5593198494347862,0.24524021384632214,0.23457673249725486,0.02957252289297594,0.04993038019823325,0.37422582841224056,0.5699097144194589,0.502790133951506,0.36237019180360175,epoch_003.pth,mps,1,min480/max640 aspect preserving
4,2026-09-22T19:35:49.401019+00:00,2026-09-22T20:08:59.418423+00:00,1926.9772795000026,62.96873666699685,1989.9826652499905,7873.918205833994,0.001,0.5064541114288136,0.21990369779150934,0.2142658990131167,0.02560286109401295,0.046681653530174574,0.3791450872442052,0.591317223994749,0.5160846732706303,0.3763009639993233,epoch_004.pth,mps,1,min480/max640 aspect preserving
5,2026-09-22T20:09:01.080241+00:00,2026-09-22T20:42:20.549904+00:00,1940.6643246250023,58.73442037499626,1999.4398830410064,9873.358088875,0.001,0.472962727186846,0.20327298200782387,0.20235995806695428,0.022728312882815318,0.044601474229252515,0.3758630388574063,0.5832928637835213,0.5125383391661376,0.37031643960351607,epoch_005.pth,mps,1,min480/max640 aspect preserving
6,2026-09-22T20:42:22.103412+00:00,2026-09-22T21:15:36.677202+00:00,1930.194890334009,64.31272645900026,1994.5467434589955,11867.904832333996,0.001,0.44030559823554105,0.18696720972837647,0.19016437985605444,0.02072107486360005,0.04245293378751012,0.43091956127122566,0.6275215527888388,0.5450014837579574,0.40144057587257664,epoch_006.pth,mps,1,min480/max640 aspect preserving
7,2026-09-22T21:53:38.470242+00:00,2026-09-22T22:29:06.445024+00:00,2067.184933707991,60.74974274999113,2127.9747314999986,13995.879563833994,0.001,0.4172689054529053,0.174466265043593,0.18253044053772463,0.019263090882619963,0.04100910898896768,0.43782317839833856,0.6135664261678208,0.5358418903392695,0.39467604293447295,epoch_007.pth,mps,1,min480/max640 aspect preserving
8,2026-09-22T22:29:07.763171+00:00,2026-09-22T23:02:17.524073+00:00,1928.8938804170175,60.801287707989104,1989.7340755830228,15985.613639417017,0.001,0.3972524416738843,0.16373919644131094,0.17524966875382234,0.018093123155101695,0.040170453323649324,0.44222131500829354,0.6115193380684223,0.5466906068473208,0.4019329147747622,epoch_008.pth,mps,1,min480/max640 aspect preserving
9,2026-09-22T23:02:19.054492+00:00,2026-09-22T23:35:24.482185+00:00,1924.6953189170163,60.67251358300564,1985.4053724590049,17971.019011876022,0.001,0.3803952761251646,0.15447950444201705,0.17010684812173713,0.01696131468621752,0.03884760887519292,0.4171859199874535,0.6089630196936974,0.5364541347541673,0.39698290910705475,epoch_009.pth,mps,1,min480/max640 aspect preserving
10,2026-09-22T23:35:25.812225+00:00,2026-09-23T00:08:27.558573+00:00,1921.5671309999889,60.117458833003184,1981.7261251249874,19952.74513700101,0.001,0.36409187118514547,0.14463712801740622,0.16512038228136952,0.016394731710679934,0.037939629175689785,0.42980506644108113,0.5988326541139849,0.5212683557675211,0.37816415544020643,epoch_010.pth,mps,1,min480/max640 aspect preserving
11,2026-09-23T00:08:28.894893+00:00,2026-09-23T00:41:29.228855+00:00,1920.14589062499,60.13038454100024,1980.3154319580062,21933.060568959016,0.001,0.3503227230219029,0.1372048053223407,0.1603626153608784,0.015644289660029016,0.03711101267865479,0.43687510990694584,0.6000932522271457,0.5312927692419531,0.39075693849721954,epoch_011.pth,mps,1,min480/max640 aspect preserving
