stage,metric,res640,res960,ratio
preprocess_ms,mean_ms,1.9393896131077781,2.244049552245997,1.157090631546704
preprocess_ms,median_ms,1.9223755225539207,2.256437495816499,1.1737756069733811
preprocess_ms,p95_ms,2.5069847441045567,2.6536577061051503,1.058505725790917
preprocess_ms,fps_from_total_time,515.6261502285497,445.6229582805479,0.8642365366516552
inference_ms,mean_ms,17.304462929605506,18.056703328038566,1.0434708896481313
inference_ms,median_ms,17.693332978524268,17.54341702326201,0.9915269805047912
inference_ms,p95_ms,20.66015596210491,21.568418716196902,1.0439620473222921
inference_ms,fps_from_total_time,57.78856033082312,55.381094867255946,0.9583401031313964
postprocess_ms,mean_ms,2.622655432787724,2.124032910214737,0.8098787525271739
postprocess_ms,median_ms,2.691583475098014,1.7970205226447433,0.6676443585236772
postprocess_ms,p95_ms,3.629604130401276,3.2564940658630803,0.8972036477992034
postprocess_ms,fps_from_total_time,381.2929397809077,470.80249801727473,1.234752729195037
end_to_end_ms,mean_ms,69.09353623748757,65.27200540353078,0.9446904726250881
end_to_end_ms,median_ms,70.03166648792103,64.93210399639793,0.9271820485322498
end_to_end_ms,p95_ms,75.9256729768822,72.18350629264023,0.9507127623961742
end_to_end_ms,fps_from_total_time,14.473133876992641,15.320503695538465,1.058547777264249
