metric,res640,res960,delta_pp
precision,0.6503353423729027,0.6402416903579431,-1.0093652014959598
recall,0.6102552350449412,0.610243947412848,-0.0011287632093126554
f1,0.6296581210859846,0.6248830128409998,-0.4775108244984838
macro_f1,0.5918555225005008,0.5876634833320799,-0.41920391684209246
map50,0.6232737306526871,0.6264113363569378,0.3137605704250701
map50_95,0.5247600681193874,0.5251387323542244,0.03786642348370117
