class_id,name,precision_640,recall_640,f1_640,ap50_640,ap50_95_640,precision_960,recall_960,f1_960,ap50_960,ap50_95_960,precision_delta_pp,recall_delta_pp,f1_delta_pp,ap50_delta_pp,ap50_95_delta_pp
0,Hatchback,0.5743506886158899,0.7189841798501249,0.6385802607960865,0.6916178966130155,0.5971243512468308,0.5908176301545454,0.6727726894254787,0.6291374029063037,0.6933897993387148,0.6023355655123503,1.6466941538655466,-4.621149042464612,-0.944285788978283,0.17719027256992703,0.5211214265519515
1,Sedan,0.5882562763207696,0.6039349871685201,0.5959925350430603,0.6582855826430336,0.591582081817373,0.6150765717360213,0.632164242942686,0.6235033535579865,0.6606778239445749,0.5968011919182676,2.682029541525166,2.8229255774165907,2.7510818514926205,0.23922413015412536,0.5219110100894597
2,SUV,0.4580767273813972,0.5865758754863813,0.5144231808087275,0.5153993793368965,0.4607539161156966,0.484567467977809,0.5651750972762646,0.5217764334153424,0.534900512837961,0.4771564248775196,2.6490740596411766,-2.1400778210116767,0.7353252606614902,1.9501133501064527,1.6402508761822976
3,MUV,0.4399543358877865,0.4849913785787304,0.4613763954719777,0.4730002123687661,0.4304707439507643,0.4778053311851158,0.4695009242144177,0.4736167280799279,0.4759060937259355,0.4294749504733622,3.785099529732933,-1.5490454364312733,1.224033260795021,0.2905881357169404,-0.09957934774020849
4,Bus,0.7695198933631259,0.7614743237602828,0.7654759683152192,0.8266341058673746,0.7043655340219873,0.7580592871823967,0.8118022328548644,0.784010836772953,0.8371003831589549,0.6941181816826187,-1.1460606180729194,5.032790909458162,1.8534868457733777,1.0466277291580228,-1.0247352339368576
5,Truck,0.6525344826556904,0.6838156484458735,0.6678089521683609,0.710314469039204,0.5787724224366585,0.6409620637687657,0.656303360049271,0.6485419997975086,0.684530587384703,0.5472861496401513,-1.1572418886924618,-2.751228839660247,-1.9266952370852297,-2.5783881654501073,-3.1486272796507175
6,Three-wheeler,0.86153809888669,0.8725099601593626,0.8669893183340373,0.9237322213312936,0.7813758793399088,0.8517430632180004,0.8891932270916335,0.8700653404163642,0.9322811375877712,0.7932790158507019,-0.9795035668689556,1.6683266932270957,0.30760220823269346,0.8548916256477579,1.190313651079311
7,Two-wheeler,0.8255577018541442,0.8615008221072874,0.8431463742873778,0.9118620205059284,0.6925431372911663,0.8102173959731006,0.8851514108740537,0.8460283901223715,0.9188173140807308,0.7041719549800807,-1.5340305881043625,2.365058876676629,0.2882015834993701,0.6955293574802401,1.1628817688914328
8,LCV,0.6571709518246198,0.7685325264750378,0.7085025176962166,0.7583767127771984,0.6198473533734793,0.6459058982244039,0.7708018154311649,0.7028484904121998,0.7580890817814747,0.6217467271756837,-1.1265053600215902,0.22692889561271024,-0.5654027284016871,-0.028763099572370887,0.1899373802204396
9,Mini-bus,0.3631548389442138,0.3103448275862069,0.3346793813865925,0.2241580593031545,0.1736338791753621,0.2680525338643451,0.2413793103448276,0.2540176335493954,0.2255608471337524,0.1718711633158811,-9.510230507986872,-6.896551724137931,-8.06617478371971,0.14027878305979125,-0.17627158594810122
10,Tempo-traveller,0.7626818489209627,0.6384615384615384,0.6950652317296871,0.7580583822297403,0.6849581172714956,0.7546103879614319,0.6846153846153846,0.7179108251570816,0.7686650868715026,0.6701995299116119,-0.8071460959530818,4.615384615384621,2.284559342739445,1.0606704641762277,-1.4758587359883668
11,Bicycle,0.6611580570824533,0.6294964028776978,0.644938876482652,0.6978753468096796,0.544142078469751,0.5996632478531778,0.6798561151079137,0.6372466691164135,0.6895383319952314,0.5470347804126799,-6.149480922927553,5.035971223021585,-0.7692207366238546,-0.8337014814448152,0.2892701942928899
12,Van,0.4907408914828949,0.6229508196721312,0.5489983224870159,0.5165905784206835,0.4564745110739203,0.4659027859120898,0.5846994535519126,0.5185846633452689,0.5236307670422166,0.4594906113635125,-2.4838105570805125,-3.825136612021862,-3.0413659141746985,0.7040188621533106,0.3016100289592205
13,Others,1.0,0.0,0.0,0.0599272618916515,0.0305969480870299,1.0,0.0,0.0,0.0666709421136054,0.0369760058447194,0.0,0.0,0.0,0.6743680221953902,0.6379057757689498
