size,objects,ap50_95_640,ap50_95_960,delta_pp
all,24342,0.5243838530598613,0.5248380544108846,0.04542013510232534
small,338,0.27347224941940795,0.20271031587010355,-7.0761933549304405
medium,8577,0.31889225322972087,0.37076940770154254,5.187715447182168
large,15427,0.5742251973549648,0.5676496249904552,-0.6575572364509563
