class_id,name,precision,recall,f1,ap50,ap50_95
0,Hatchback,0.5743506886158899,0.7189841798501249,0.6385802607960865,0.6916178966130155,0.5971243512468308
1,Sedan,0.5882562763207696,0.6039349871685201,0.5959925350430603,0.6582855826430336,0.591582081817373
2,SUV,0.45807672738139726,0.5865758754863813,0.5144231808087275,0.5153993793368965,0.4607539161156966
3,MUV,0.43995433588778654,0.4849913785787304,0.46137639547197773,0.4730002123687661,0.43047074395076435
4,Bus,0.7695198933631259,0.7614743237602828,0.7654759683152192,0.8266341058673746,0.7043655340219873
5,Truck,0.6525344826556904,0.6838156484458735,0.6678089521683609,0.710314469039204,0.5787724224366585
6,Three-wheeler,0.86153809888669,0.8725099601593626,0.8669893183340373,0.9237322213312937,0.7813758793399088
7,Two-wheeler,0.8255577018541442,0.8615008221072874,0.8431463742873778,0.9118620205059284,0.6925431372911663
8,LCV,0.6571709518246198,0.7685325264750378,0.7085025176962166,0.7583767127771984,0.6198473533734793
9,Mini-bus,0.36315483894421385,0.3103448275862069,0.3346793813865925,0.22415805930315455,0.17363387917536216
10,Tempo-traveller,0.7626818489209627,0.6384615384615384,0.6950652317296871,0.7580583822297403,0.6849581172714956
11,Bicycle,0.6611580570824533,0.6294964028776978,0.644938876482652,0.6978753468096796,0.544142078469751
12,Van,0.4907408914828949,0.6229508196721312,0.5489983224870159,0.5165905784206835,0.4564745110739203
13,Others,1.0,0.0,0.0,0.059927261891651554,0.03059694808702994
