metric,E0,E1,delta_percentage_points,relative_change_percent
precision,0.6099933461410915,0.6503353423729027,4.034199623181123,6.6135141451985735
recall,0.5435466042047116,0.6102552350449412,6.67086308402296,12.272844743061938
f1,0.5748562271866977,0.6296581210859846,5.480189389928691,9.533147821583698
macro_f1,0.5393973621713384,0.5918555225005008,5.24581603291624,9.725327561483166
map50,0.560049159856388,0.6232737306526871,6.322457079629906,11.28911090814091
map50_95,0.45840711155408354,0.5247600681193874,6.635295656530382,14.474678706522504
