stage,metric,E0,E1,delta,ratio_E1_to_E0
preprocess_ms,mean_ms,1.1198470433009788,0.9640095249051228,-0.15583751839585602,0.8608403537535868
preprocess_ms,median_ms,1.2249165156390518,0.8340414788108319,-0.3908750368282199,0.6808965902265622
preprocess_ms,p95_ms,1.3557627593399957,1.335178830777295,-0.02058392856270075,0.9848174553985232
preprocess_ms,fps_from_total_time,892.9790956560415,1037.3341488492235,144.35505319318202,1.1616555795039405
inference_ms,mean_ms,6.178518339293078,7.232940828544088,1.0544224892510101,1.1706594415274736
inference_ms,median_ms,6.753354013198987,7.0542079920414835,0.30085397884249687,1.0445488239257852
inference_ms,p95_ms,7.724874702398665,7.775717315962538,0.050842613563872874,1.0065816748520318
inference_ms,fps_from_total_time,161.85110168571842,138.25635017690158,-23.59475150881684,0.8542193950917122
postprocess_ms,mean_ms,1.8218878586776555,1.4656445011496544,-0.35624335752800107,0.8044647172814653
postprocess_ms,median_ms,1.6849789826665074,1.1646665225271136,-0.5203124601393938,0.6912053708135928
postprocess_ms,p95_ms,2.6644943369319662,2.427664917195216,-0.23682941973675042,0.9111165610472087
postprocess_ms,fps_from_total_time,548.8812032184078,682.2936934676848,133.41249024927697,1.2430625961811088
end_to_end_ms,mean_ms,30.363652499509044,30.29247166006826,-0.07118083944078535,0.997655722102539
end_to_end_ms,median_ms,31.166603992460296,30.53681249730289,-0.6297914951574057,0.9797927456161164
end_to_end_ms,p95_ms,33.68128890579101,32.06264998589177,-1.6186389198992401,0.9519424887679717
end_to_end_ms,fps_from_total_time,32.934114234648455,33.011502370016466,0.07738813536801104,1.0023497864498994
