class_id,name,precision_E0,recall_E0,f1_E0,ap50_E0,ap50_95_E0,precision_E1,recall_E1,f1_E1,ap50_E1,ap50_95_E1,precision_delta_pp,recall_delta_pp,f1_delta_pp,ap50_delta_pp,ap50_95_delta_pp
0,Hatchback,0.5620552600539425,0.6573688592839301,0.6059870709410162,0.6344985709183893,0.5341083895012508,0.5743506886158899,0.7189841798501249,0.6385802607960865,0.6916178966130155,0.5971243512468308,1.229542856194743,6.161532056619478,3.2593189855070315,5.711932569462618,6.301596174558
1,Sedan,0.5180204222810267,0.4935842600513259,0.5055072031369912,0.5602500163727804,0.4883587427313068,0.5882562763207696,0.6039349871685201,0.5959925350430603,0.6582855826430336,0.591582081817373,7.023585403974286,11.035072711719424,9.04853319060691,9.803556627025323,10.322333908606623
2,SUV,0.4360173395978318,0.5690661478599222,0.4937355173800899,0.4720310579490975,0.4115324844417904,0.4580767273813972,0.5865758754863813,0.5144231808087275,0.5153993793368965,0.4607539161156966,2.205938778356542,1.7509727626459193,2.0687663428637593,4.336832138779901,4.922143167390619
3,MUV,0.442082916887236,0.4291458586892572,0.435518335247565,0.4075299860199396,0.3645136497753329,0.4399543358877865,0.4849913785787304,0.4613763954719777,0.4730002123687661,0.4304707439507643,-0.21285809994495142,5.5845519889473225,2.5858060224412673,6.547022634882649,6.595709417543139
4,Bus,0.7511238911948298,0.7123983454565788,0.7312487694678705,0.7694711017735529,0.6429693211409696,0.7695198933631259,0.7614743237602828,0.7654759683152192,0.8266341058673746,0.7043655340219873,1.8396002168296066,4.907597830370403,3.4227198847348705,5.716300409382169,6.139621288101771
5,Truck,0.6073521458750973,0.6505894962486602,0.6282277546092213,0.6801378332226722,0.5453833245428343,0.6525344826556904,0.6838156484458735,0.6678089521683609,0.710314469039204,0.5787724224366585,4.518233678059302,3.3226152197213255,3.958119755913958,3.017663581653185,3.338909789382416
6,Three-wheeler,0.853691267035947,0.8391434262948207,0.8463548362291721,0.9036450863864836,0.740275537888713,0.86153809888669,0.8725099601593626,0.8669893183340373,0.9237322213312936,0.7813758793399088,0.7846831850742975,3.3366533864541803,2.063448210486518,2.008713494481007,4.110034145119579
7,Two-wheeler,0.8152230843618541,0.8016172755774583,0.8083629331204112,0.8776123344051154,0.6392567838697314,0.8255577018541442,0.8615008221072874,0.8431463742873778,0.9118620205059284,0.6925431372911663,1.0334617492290143,5.988354652982908,3.4783441166966633,3.4249686100812915,5.328635342143495
8,LCV,0.6659448457606968,0.708018154311649,0.6863373184634776,0.7195600423793893,0.5789519987625888,0.6571709518246198,0.7685325264750378,0.7085025176962166,0.7583767127771984,0.6198473533734793,-0.8773893936076971,6.051437216338873,2.2165199232739075,3.8816670397809117,4.089535461089044
9,Mini-bus,0.2179406126515759,0.1551724137931034,0.181276817113256,0.189143350204987,0.1383226692488454,0.3631548389442138,0.3103448275862069,0.3346793813865925,0.2241580593031545,0.1736338791753621,14.521422629263789,15.51724137931035,15.340256427333648,3.5014709098167507,3.5311209926516707
10,Tempo-traveller,0.6746707719286342,0.6062007523513001,0.6386057021019176,0.6504336494423945,0.5694335845856943,0.7626818489209627,0.6384615384615384,0.6950652317296871,0.7580583822297403,0.6849581172714956,8.801107699232846,3.2260786110238304,5.645952962776956,10.762473278734586,11.552453268580132
11,Bicycle,0.588386129556451,0.5501889990026024,0.5686468420531443,0.5741947323451583,0.4219766307645914,0.6611580570824533,0.6294964028776978,0.644938876482652,0.6978753468096796,0.544142078469751,7.277192752600237,7.930740387509538,7.629203442950772,12.368061446452128,12.216544770515963
12,Van,0.4073981587901595,0.4371584699453552,0.421753970534603,0.3625611627491224,0.3183963487167424,0.4907408914828949,0.6229508196721312,0.5489983224870159,0.5165905784206835,0.4564745110739203,8.33427326927354,18.5792349726776,12.724435195241284,15.402941567156104,13.807816235717791
13,Others,1.0,0.0,0.0,0.0396193138203497,0.0242200957867787,1.0,0.0,0.0,0.0599272618916515,0.0305969480870299,0.0,0.0,0.0,2.03079480713018,0.6376852300251198
