class_id,name,precision,recall,f1,ap50,ap50_95
0,Hatchback,0.5908176301545454,0.6727726894254787,0.6291374029063037,0.6933897993387148,0.6023355655123503
1,Sedan,0.6150765717360213,0.632164242942686,0.6235033535579865,0.6606778239445749,0.5968011919182676
2,SUV,0.48456746797780903,0.5651750972762646,0.5217764334153424,0.534900512837961,0.47715642487751964
3,MUV,0.4778053311851158,0.46950092421441775,0.4736167280799279,0.47590609372593556,0.42947495047336226
4,Bus,0.7580592871823967,0.8118022328548644,0.784010836772953,0.8371003831589549,0.6941181816826187
5,Truck,0.6409620637687657,0.656303360049271,0.6485419997975086,0.684530587384703,0.5472861496401513
6,Three-wheeler,0.8517430632180004,0.8891932270916335,0.8700653404163642,0.9322811375877712,0.7932790158507019
7,Two-wheeler,0.8102173959731006,0.8851514108740537,0.8460283901223715,0.9188173140807309,0.7041719549800807
8,LCV,0.6459058982244039,0.7708018154311649,0.7028484904121998,0.7580890817814747,0.6217467271756837
9,Mini-bus,0.2680525338643451,0.2413793103448276,0.2540176335493954,0.2255608471337524,0.1718711633158811
10,Tempo-traveller,0.7546103879614319,0.6846153846153846,0.7179108251570816,0.7686650868715026,0.6701995299116119
11,Bicycle,0.5996632478531778,0.6798561151079137,0.6372466691164135,0.6895383319952314,0.5470347804126799
12,Van,0.4659027859120898,0.5846994535519126,0.5185846633452689,0.5236307670422166,0.45949061136351255
13,Others,1.0,0.0,0.0,0.06667094211360547,0.03697600584471942
