experiment,architecture,train_images,evaluation_images,evaluation_split,trained_epochs,reported_epoch,precision,recall,harmonic_f1,macro_f1,AP50,AP50_95,confidence,comparison_group,source,notes
E0 baseline,YOLOv8n,8000,2000,historical validation2000,30,30,0.6099933461410915,0.5435466042047116,0.5748562271866977,0.5393973621713384,0.560049159856388,0.45840711155408354,0.30930930930930933,historical matched E0/E1 Ultralytics,reports/tables/yolov8n_uvh26_mv_baseline_seed42_v1_validation_metrics.json,"Completed baseline, 640 input"
E1 baseline,YOLOv8s,8000,2000,historical validation2000,30,22,0.6503353423729027,0.6102552350449412,0.6296581210859846,0.5918555225005008,0.6232737306526871,0.5247600681193874,0.31431431431431434,historical matched E0/E1 Ultralytics,reports/tables/E1_yolov8s_uvh26_mv_640_seed42_validation_metrics.json,Larger YOLO model; 640 input
E2 960 inference,YOLOv8s (same E1 checkpoint),8000,2000,historical validation2000,30,22,0.6402416903579431,0.610243947412848,0.6248830128409998,0.5876634833320799,0.6264113363569378,0.5251387323542244,0.35835835835835833,historical matched E2 resolution study,reports/evaluations/E2_gateA_960_seed42_v2/metrics.json,"No new training; Gate A failed, 640 retained"
E3 Stage D,Faster R-CNN ResNet50-FPN,8000,500,calibration500,20,13,0.456161013331201,0.634882026193483,0.5308836002296556,0.5262591776511334,0.5635613642138032,0.4290700953563752,0.25,Stage D fixed confidence .25,reports/evaluations/E3_fasterrcnn_best_calibration500_v1/metrics.json,Short480/max640; independent reproduction of epoch13
E1 Stage E,YOLOv8s,8000,500,calibration500,30,22,0.6147706460052198,0.5816583440825358,0.5977562879343449,0.5910453882253294,0.5737779591395278,0.4828289044955134,0.34,Stage E common calibration evaluator,reports/comparisons/E1_E3_stageE_v2/E1_metrics.json,Fresh predictions; calibration-selected operating threshold
E3 Stage E,Faster R-CNN ResNet50-FPN,8000,500,calibration500,20,13,0.5362697840680013,0.568768236024869,0.552041130842105,0.546461938382426,0.5635613642138032,0.4290700953563752,0.43,Stage E common calibration evaluator,reports/comparisons/E1_E3_stageE_v2/E3_metrics.json,Fresh predictions; calibration-selected operating threshold
Stage B unweighted,Faster R-CNN ResNet50-FPN,1000,250,pilot calibration250,3,3,0.23909899038336144,0.4426280143726918,0.3104817928982383,,0.3769762770928542,0.23409653304561803,0.25,Stage B paired three-epoch pilot,reports/accuracy_stage_b/unweighted_summary.json,Configuration-selection evidence only; F1 here calculated from recorded macro P/R; unweighted selected conservatively
Stage B weighted,Faster R-CNN ResNet50-FPN,1000,250,pilot calibration250,3,3,0.2756534277353793,0.44850457511289077,0.34144985762388186,,0.3754036097177505,0.2385913469082795,0.25,Stage B paired three-epoch pilot,reports/accuracy_stage_b/weighted_summary.json,Configuration-selection evidence only; F1 here calculated from recorded macro P/R; unweighted selected conservatively
