class_id,name,gt_count,prediction_count_raw,prediction_count_fixed,tp,fp,fn,precision,recall,f1,ap50,ap50_95
0,Hatchback,610,4364,856,434,422,176,0.5070093457943925,0.7114754098360656,0.592087312414734,0.5994656442374419,0.4716622855076556
1,Sedan,301,2806,350,159,191,142,0.4542857142857143,0.5282392026578073,0.48847926267281105,0.5250015122954348,0.4310073224333759
2,SUV,236,2913,307,131,176,105,0.42671009771986973,0.5550847457627118,0.48250460405156537,0.46527689399812305,0.37531029953829137
3,MUV,147,2347,147,60,87,87,0.40816326530612246,0.40816326530612246,0.40816326530612246,0.4413950020931753,0.3824426618935588
4,Bus,166,1608,171,115,56,51,0.672514619883041,0.6927710843373494,0.6824925816023739,0.7355247808633536,0.5720130197149873
5,Truck,253,2453,322,184,138,69,0.5714285714285714,0.7272727272727273,0.64,0.7038175601142207,0.5306356756918567
6,Three-wheeler,1035,5989,1140,916,224,119,0.8035087719298246,0.885024154589372,0.8422988505747128,0.9092325883570518,0.699490419930173
7,Two-wheeler,2920,10696,3237,2511,726,409,0.7757182576459685,0.8599315068493151,0.8156569757999026,0.8780977329945241,0.6065840804635826
8,LCV,311,2999,376,236,140,75,0.6276595744680851,0.7588424437299035,0.6870451237263464,0.7369354924964221,0.5415646961690301
9,Mini-bus,19,946,12,6,6,13,0.5,0.3157894736842105,0.3870967741935484,0.29867827049761,0.17023545153876352
10,Tempo-traveller,30,869,23,15,8,15,0.6521739130434783,0.5,0.5660377358490566,0.5615403387537531,0.4577343205845018
11,Bicycle,62,1728,63,40,23,22,0.6349206349206349,0.6451612903225806,0.64,0.6289162975257245,0.4345746879335522
12,Van,48,1655,38,18,20,30,0.47368421052631576,0.375,0.4186046511627907,0.36451247039938356,0.29723444098436175
13,Others,10,1438,0,0,0,10,0.0,0.0,0.0,0.0414645143670269,0.0364919726055631
