threshold,precision,recall,harmonic_aggregate_f1,macro_class_f1,predictions,tp
0.001,0.14578869981948925,0.741882623641959,0.2436895284567115,0.23422537898814838,43608,5656
0.01,0.28265974121389326,0.70766377969173,0.403965081332593,0.39108278850429895,19057,5555
0.02,0.32682614931894804,0.6946301546096441,0.444509075442088,0.4339661586442613,15179,5518
0.03,0.3572522583180441,0.6875312070035651,0.47018752596844743,0.4607975882701291,13389,5491
0.04,0.3809454468352254,0.678778003190662,0.4880091871536335,0.47915344130279774,12215,5461
0.05,0.4020960203432982,0.6756198303627594,0.504147813871163,0.49493012080604115,11431,5443
0.06,0.41700505240358304,0.6719398097077255,0.5146308234853166,0.5057878797956133,10834,5417
0.07,0.4285997122996799,0.6694854454978263,0.52262115973724,0.514419454109935,10361,5393
0.08,0.4398652880785457,0.6668869658886217,0.5300923062319383,0.5224923983963349,9980,5374
0.09,0.45247468810118974,0.6628310127293611,0.5378153371316436,0.5299695125442848,9646,5352
0.1,0.46254875272527196,0.6608834883697933,0.5442087596563948,0.5367911688687558,9356,5330
0.11,0.4719939247209099,0.6595210760827318,0.5502179660284793,0.5431444317585756,9108,5311
0.12,0.4785156418731091,0.6575727727602164,0.5539337491390435,0.54714060057882,8867,5300
0.13,0.48571863372131885,0.6523456528492778,0.5568339907595153,0.5501994087568798,8681,5277
0.14,0.49420614283507514,0.6503552442201157,0.5616292150926602,0.5552428181185126,8473,5258
0.15,0.5023071647350654,0.6482609643041901,0.5660266763341701,0.5589295629676765,8317,5240
0.16,0.5055209098667715,0.6420267422641095,0.5656548419675301,0.5587372617780956,8143,5214
0.17,0.5138099504179215,0.6375473098914448,0.5690295496923052,0.5620342415115253,7975,5192
0.18,0.5216502546278078,0.635717844588396,0.5730629273876828,0.5660630652101785,7837,5174
0.19,0.5261813076259646,0.6332718317868963,0.5747809707963828,0.5680938280939173,7710,5154
0.2,0.5327442561277856,0.631925634337901,0.5781118834604965,0.5717180094089428,7593,5137
0.21,0.5383803911479307,0.6289799276027969,0.580164417117386,0.5739865382549076,7469,5112
0.22,0.5480166366165629,0.6276663901088769,0.5851434718467782,0.578715548880927,7355,5099
0.23,0.5539964247247624,0.6257562415916832,0.5876938963374388,0.5811187896402105,7255,5079
0.24,0.5589477803228643,0.6225476996017992,0.5890359476613808,0.5823590226656908,7155,5054
0.25,0.5670069423548286,0.6188439043539622,0.5917924517683154,0.5843524704300483,7062,5036
0.26,0.5743853519992722,0.6158133656117493,0.5943783530245096,0.586832291936008,6953,5011
0.27,0.5765283840825661,0.6079613376996144,0.5918277907574614,0.5844707557917505,6866,4985
0.28,0.5806776592487972,0.6042157433933362,0.5922129075452046,0.5850739130859861,6769,4959
0.29,0.5837726079398401,0.6015818120047512,0.5925434239315601,0.5856551824223135,6680,4930
0.3,0.5869193339369565,0.5968859846665786,0.5918607038699051,0.5852859534544804,6592,4903
0.31,0.592322761105779,0.5932133169289214,0.5927677045316737,0.586556689679884,6499,4872
0.32,0.597376429624983,0.5864846677196248,0.59188044546439,0.5857139690385974,6407,4838
0.33,0.6032575604926996,0.5841988962220095,0.5935752826717553,0.5878198287744839,6326,4817
0.34,0.6147706460052198,0.5816583440825358,0.5977562879343449,0.5910453882253294,6243,4789
0.35,0.6168187905255136,0.5751515351107862,0.5952568895816206,0.5884139998536005,6165,4764
0.36,0.6195026257076703,0.5683256960464408,0.5928116959494292,0.5859452019144477,6077,4735
0.37,0.6246976210757592,0.5631105674382327,0.5923074706554629,0.5859457794310056,5979,4696
0.38,0.6366899516902824,0.5585074396922014,0.595041584528516,0.5879042304266411,5882,4663
0.39,0.6390138522637056,0.5536545162787762,0.5932795982555606,0.5864247454285728,5798,4635
0.4,0.6440155461119454,0.5498308677182003,0.5932080080664732,0.5866893683421532,5725,4610
0.41,0.6431438854585574,0.543423166215409,0.5890931929635304,0.5824113366662299,5658,4586
0.42,0.6479419694372005,0.5393175212193929,0.5886606249112858,0.582241836377694,5581,4555
0.43,0.6506429418127747,0.5326357721652919,0.5857549901345867,0.5796954935838536,5501,4518
0.44,0.6586390495418953,0.5276567333382901,0.5859168250375774,0.5786007276942254,5406,4465
0.45,0.6669680248189858,0.5206137094213812,0.584772714929925,0.5757736385915361,5330,4423
0.46,0.6636592898589636,0.5131165556311923,0.578758597451044,0.5693934486569038,5260,4389
0.47,0.666662393133239,0.5076716665384844,0.5764043124749285,0.5669987621620273,5179,4349
0.48,0.6699430018025386,0.5034154089409119,0.5748620832842307,0.5655857388634056,5106,4308
0.49,0.672035353321324,0.4962150758680196,0.5708948449789689,0.5619205560406526,5028,4266
0.5,0.6804507592924649,0.49294014805074227,0.5717131365647435,0.56226808438292,4965,4236
0.51,0.6834406155585494,0.49036909620701064,0.5710263829024181,0.5617074255593508,4908,4205
0.52,0.6755718264949042,0.481995340814621,0.5625979760863384,0.5540882782198419,4845,4169
0.53,0.68453624263473,0.4796368887047799,0.5640549928260302,0.555105837216076,4775,4136
0.54,0.6990866057769456,0.47501377653373744,0.5656684449428742,0.5530869461004941,4711,4102
0.55,0.7041886231987916,0.46633130073325973,0.5610928783078425,0.5486284138124617,4637,4066
0.56,0.6738522651407326,0.45699868238303626,0.5446333983527331,0.5394614465516189,4544,4015
0.57,0.6840594137425864,0.4524274095532233,0.5446384809681164,0.5390209500369154,4469,3975
0.58,0.684742195480523,0.44626805915245005,0.5403639256941036,0.5344202120843653,4411,3934
0.59,0.6898303380634019,0.44131893142299544,0.5382758860738763,0.532118300374674,4334,3883
0.6,0.6936659899669273,0.43733959447231285,0.536456418827999,0.5302904162275416,4268,3843
0.61,0.6974213004266817,0.4327786780662567,0.5341162169484059,0.5274653149931849,4202,3796
0.62,0.701161459029521,0.4260539142102647,0.5300363909237777,0.5228186685745876,4143,3764
0.63,0.7033303920211015,0.4169859208562099,0.5235644037528101,0.516197561883336,4062,3707
0.64,0.7056938885907745,0.40901968864522004,0.5178777768293478,0.510188194358374,3984,3650
0.65,0.7081548809524728,0.40117120163731895,0.512187262150741,0.5041704584170301,3899,3585
0.66,0.7138345722229272,0.3941322356010037,0.5078585636551263,0.4992926491035074,3840,3537
0.67,0.7153209415323223,0.3879537173466732,0.5030685987936273,0.49461133740569363,3765,3478
0.68,0.7213130657225311,0.3840340571846109,0.5012159119772993,0.4921153405240092,3698,3430
0.69,0.7235032658001072,0.37947387674950667,0.4978355008870833,0.48833864290029894,3626,3372
0.7,0.7330130276321051,0.37286423173323346,0.49429416706760215,0.4842112188243668,3537,3306
0.71,0.7396130345100992,0.36927844991678554,0.49260573961986803,0.4824159743627456,3458,3249
0.72,0.7382814132634501,0.3588016839961271,0.4829107567214486,0.47269318359417944,3371,3174
0.73,0.7405577398609895,0.34965936845655043,0.47503006447039436,0.4642670778778421,3298,3113
0.74,0.7486131229713882,0.34418822072270994,0.47156570641501655,0.4602489906110288,3221,3052
0.75,0.7544278055945901,0.3337403346423133,0.4627648595699361,0.45142751004266085,3124,2969
0.76,0.7565737174885226,0.32212826462595767,0.4518648945067435,0.4400418095196213,3026,2889
0.77,0.7566936131487142,0.3105643750426198,0.4403847648205975,0.42859864535386444,2920,2794
0.78,0.7686717686178117,0.3025580468843184,0.43420716197878717,0.421633701489743,2827,2713
0.79,0.7707851274701155,0.2963431839494648,0.4280964460806583,0.4151544468666249,2729,2624
0.8,0.770101732387492,0.28271594280990553,0.4135949508838746,0.4011437794115435,2626,2527
0.81,0.7724887024594637,0.2750562117481305,0.40566817371731645,0.39336139557805205,2517,2427
0.82,0.7807640821565672,0.2635942000810032,0.39412697191828755,0.3813013767233563,2398,2319
0.83,0.7879252831938345,0.24718635755984944,0.376315699899163,0.36339455262955367,2265,2193
0.84,0.7858643887614969,0.23569672097804156,0.36263255873498085,0.3501446763951308,2129,2064
0.85,0.7904208412778846,0.22090516951375272,0.3453051697800512,0.333479358188007,1970,1916
0.86,0.7939173493962098,0.20833846142551798,0.3300624796310654,0.3186598679067566,1831,1787
0.87,0.8130765219208528,0.1938696320753183,0.3130869421930869,0.3017601536971785,1647,1616
0.88,0.8151374012031647,0.17448695289669755,0.28744410086278177,0.27551729413155107,1457,1430
0.89,0.8192398290302249,0.16110560337290444,0.26926045167466245,0.2585498502518357,1289,1268
0.9,0.8268822413291677,0.1360847777030278,0.23370704037393208,0.22455028662012835,1095,1081
0.91,0.826116705804248,0.10874081266277559,0.19218458464292237,0.1852597485264984,880,868
0.92,0.8273594276789765,0.09184375822567108,0.16533406412575252,0.15965724634207848,696,686
0.93,0.7571768707482993,0.06704189607634846,0.12317742600229323,0.12000061261144775,469,463
0.94,0.7669642857142858,0.04378332148835444,0.08283772555895211,0.08126379604228585,256,254
0.95,0.7589285714285714,0.023250799990197725,0.045119309114801276,0.04471578819819668,105,103
0.96,0.6904761904761905,0.010401640404181784,0.020494541914562334,0.020387096605119764,39,38
0.97,0.6071428571428571,0.005779554591971407,0.011450112512775145,0.011338862951882425,19,18
0.98,0.2857142857142857,0.0031286270936718564,0.006189478195223279,0.006095489723116495,4,4
0.99,0.14285714285714285,0.00026176606354552016,0.0005225745810541,0.0005219438269899534,2,2
