image_id,both,E1_only,E3_only,neither
16969,4,1,1,1
17047,5,2,2,5
17058,10,1,1,4
17064,5,1,2,2
17280,11,1,0,2
17302,4,1,0,2
17310,20,3,3,7
17459,3,0,0,1
17515,15,2,3,3
17568,1,1,0,2
17569,3,0,0,3
17602,8,2,0,2
17643,11,2,2,1
17695,7,1,0,2
17715,17,1,0,1
17745,21,0,3,2
17778,9,1,0,0
17879,9,0,0,1
17881,15,3,3,3
17974,17,7,1,1
17986,13,2,1,5
17987,26,3,3,7
18062,10,1,1,1
18073,5,1,1,4
18122,23,1,1,3
18188,11,0,2,2
18217,5,0,1,0
18233,1,0,0,1
18259,6,0,1,1
18293,4,0,0,0
18323,14,1,2,2
18340,7,0,2,1
18412,8,0,1,2
18422,5,0,1,0
18579,14,2,0,0
18587,3,0,0,1
18594,27,3,2,2
18604,4,1,0,0
18625,6,1,1,2
18714,3,1,1,3
18813,5,0,0,3
18895,8,1,1,2
18942,6,0,1,0
18994,3,3,0,3
19031,13,2,1,4
19049,13,1,4,6
19057,22,1,1,3
19086,8,2,1,2
19112,27,1,2,4
19129,2,0,0,3
19173,0,0,1,0
19183,29,3,0,3
19206,12,3,0,2
19250,1,3,0,1
19256,11,2,3,3
19266,23,4,1,11
19334,16,2,3,0
19348,0,0,1,0
19459,4,0,2,3
19503,10,1,2,1
19547,11,2,2,0
19604,1,0,1,1
19611,3,0,1,0
19645,21,2,0,7
19657,15,1,1,0
19711,9,1,1,2
19737,12,2,2,3
19776,9,0,1,1
19778,10,1,4,0
19801,8,0,0,1
19814,8,1,0,3
19835,6,0,1,1
19921,6,3,0,1
19965,4,0,0,0
19996,4,1,1,1
20036,10,0,0,1
20054,9,0,0,1
20124,2,0,1,2
20153,8,0,1,0
20180,7,0,0,1
20191,13,1,4,3
20269,24,4,4,5
20276,2,0,0,1
20314,23,4,1,11
20348,5,1,0,0
20374,16,2,3,0
20410,1,0,0,2
20461,6,0,0,3
20536,11,0,1,0
20590,5,0,1,1
20655,7,1,2,2
20671,18,1,3,2
20694,4,1,0,2
20790,4,2,0,1
20835,6,0,1,0
20929,9,0,3,2
20953,6,0,0,0
21081,16,1,2,3
21083,13,0,2,2
21103,16,1,1,3
21162,1,0,1,0
21225,9,0,1,2
21325,2,0,0,3
21564,13,0,0,3
21566,32,7,3,6
21592,9,1,1,1
21621,25,3,6,6
21625,19,1,4,2
21627,2,3,1,2
21642,2,1,0,1
21645,12,3,4,4
21677,0,1,1,0
21699,9,0,0,1
21755,14,2,0,2
21756,16,1,0,2
21781,3,1,1,1
21833,4,0,1,1
21904,10,2,3,4
21934,13,3,1,3
21976,3,0,1,1
22054,6,0,0,2
22071,6,0,1,0
22079,6,0,0,0
22081,11,2,0,2
22180,2,2,0,0
22195,3,0,1,1
22250,2,1,0,0
22259,8,0,0,1
22297,4,0,0,1
22303,11,2,2,0
22330,3,0,0,1
22335,13,1,2,4
22344,13,1,0,1
22433,7,1,1,2
22502,7,1,0,1
22556,11,0,2,2
22808,14,0,0,1
22821,12,1,1,2
22856,6,0,0,1
22907,10,1,0,1
23078,14,2,1,3
23138,4,0,1,1
23167,2,0,0,0
23233,10,1,1,3
23236,10,0,0,1
23275,1,0,0,1
23321,16,1,1,4
23385,0,0,1,2
23419,0,1,1,0
23684,9,1,2,0
23772,8,1,1,2
23843,15,1,2,5
23893,17,2,0,6
23909,3,1,1,3
23937,3,0,1,1
23959,11,3,1,0
24109,12,1,1,0
24163,9,0,2,0
24307,12,0,0,2
24391,20,1,0,2
24397,14,1,2,6
24438,5,0,0,3
24454,9,1,1,4
24698,6,0,1,1
24740,8,0,0,3
24765,4,2,0,2
24829,10,0,2,0
24895,3,0,0,0
24932,6,0,0,0
25014,0,0,0,1
25125,1,0,1,0
25165,1,1,0,0
25172,3,0,0,0
25178,2,0,0,0
25183,2,0,0,0
25192,1,0,0,1
25265,4,1,0,1
25267,1,0,0,2
25369,2,0,0,2
25380,3,0,0,0
25394,2,1,0,0
25420,5,0,0,0
25531,3,1,0,0
25587,2,0,0,1
25632,5,0,0,0
25710,1,0,0,1
25753,1,0,0,1
25788,3,1,2,2
25804,2,0,0,0
25815,1,0,0,1
25856,2,0,0,0
25859,1,0,2,0
25930,7,0,0,0
25953,2,0,1,0
25983,3,0,1,0
26023,1,0,3,0
26083,4,1,2,0
26111,1,1,1,0
26133,1,0,0,0
26155,10,0,0,1
26237,3,2,0,0
26272,1,0,0,0
26304,1,0,0,0
26309,5,0,0,1
26319,3,0,1,1
26363,4,0,0,3
26377,9,1,1,3
26439,10,1,1,2
26527,3,0,1,0
26599,3,0,2,1
