method,epoch,training_seconds,validation_seconds,total_epoch_seconds,cumulative_seconds,learning_rate,total_training_loss,classification_loss,box_regression_loss,rpn_objectness_loss,rpn_box_loss,validation_precision,validation_recall,validation_map50,validation_map50_95
unweighted,1,325.65163116700205,44.74589783299962,371.8686237499969,371.8686281250011,0.0005,1.094143532651302,0.480247185703367,0.4747388217265252,0.07098438957659528,0.06817313564481446,0.2062140011620257,0.33424571635278866,0.3032527012601589,0.1802181422488922
unweighted,2,317.4270660000002,41.2700435830011,360.0639597909976,731.9361307910003,0.001,0.7997395460805128,0.35466882576420905,0.3394049888765439,0.04504925608032499,0.060616475359434846,0.26050047117281955,0.38347403316781936,0.3424978277718953,0.21342646315259528
unweighted,3,326.0177252499998,46.492457792002824,373.9870981669992,1105.9273462910023,0.001,0.6594782790572135,0.2915014033988118,0.282622571637854,0.030913310984062265,0.054440993036485454,0.23909899038336144,0.4426280143726918,0.3769762770928542,0.23409653304561803
weighted,1,308.8734001670018,41.68533983299858,352.0023800420022,352.0023839589994,0.0005,1.07473866738574,0.4749070155546069,0.4682822265177965,0.06782584163936553,0.063723583673971,0.22179259444914692,0.3619261401124377,0.3047201708181857,0.17554500041121243
weighted,2,306.97921720799786,41.4189975410045,349.88360533300147,701.8909592089985,0.001,0.780520818962963,0.3470907468609512,0.33184105932805685,0.04147363373743428,0.06011537903652061,0.23602224039168915,0.40902618555719805,0.33130280752538727,0.20317662137027256
weighted,3,301.51203458300006,41.31596008299675,344.26707037500455,1046.1637462500003,0.001,0.6398175067850389,0.28279839070513846,0.2706281059011817,0.031691190291763635,0.05469981988695508,0.2756534277353793,0.44850457511289077,0.3754036097177505,0.2385913469082795
